Fecha,Festivo,Zona_de_Carga
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,MATEHUALA
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,MINAS
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,AGUASCALIENTES
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,COLIMA 
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,QUERETARO
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,SAN LUIS POTOSI
20/03/2017,Natalicio De Benito Ju‡Rez Garcia,ZACATECAS
13/04/2017,Jueves Santo,FRESNILLO
13/04/2017,Jueves Santo,MANZANILLO
13/04/2017,Jueves Santo,CELAYA
13/04/2017,Jueves Santo,IRAPUATO
13/04/2017,Jueves Santo,LEON
13/04/2017,Jueves Santo,SALVATIERRA
13/04/2017,Jueves Santo,IXIMIQUILPAN
13/04/2017,Jueves Santo,CIENEGA
13/04/2017,Jueves Santo,GUADALAJARA
13/04/2017,Jueves Santo,JIQUILPAN
13/04/2017,Jueves Santo,LOS ALTOS 
13/04/2017,Jueves Santo,ZAPOTLAN
13/04/2017,Jueves Santo,APATZINGAN
13/04/2017,Jueves Santo,MORELIA
13/04/2017,Jueves Santo,URUAPAN
13/04/2017,Jueves Santo,ZACAPU
13/04/2017,Jueves Santo,ZAMORA
13/04/2017,Jueves Santo,TEPIC VALLARTA 
13/04/2017,Jueves Santo,SAN JUAN DEL RIO
13/04/2017,Jueves Santo,MATEHUALA
13/04/2017,Jueves Santo,MINAS
13/04/2017,Jueves Santo,AGUASCALIENTES
13/04/2017,Jueves Santo,COLIMA 
13/04/2017,Jueves Santo,QUERETARO
13/04/2017,Jueves Santo,SAN LUIS POTOSI
13/04/2017,Jueves Santo,ZACATECAS
14/04/2017,Viernes Santo,FRESNILLO
14/04/2017,Viernes Santo,MANZANILLO
14/04/2017,Viernes Santo,CELAYA
14/04/2017,Viernes Santo,IRAPUATO
14/04/2017,Viernes Santo,LEON
14/04/2017,Viernes Santo,SALVATIERRA
14/04/2017,Viernes Santo,IXIMIQUILPAN
14/04/2017,Viernes Santo,CIENEGA
14/04/2017,Viernes Santo,GUADALAJARA
14/04/2017,Viernes Santo,JIQUILPAN
14/04/2017,Viernes Santo,LOS ALTOS 
14/04/2017,Viernes Santo,ZAPOTLAN
14/04/2017,Viernes Santo,APATZINGAN
14/04/2017,Viernes Santo,MORELIA
14/04/2017,Viernes Santo,URUAPAN
14/04/2017,Viernes Santo,ZACAPU
14/04/2017,Viernes Santo,ZAMORA
14/04/2017,Viernes Santo,TEPIC VALLARTA 
14/04/2017,Viernes Santo,SAN JUAN DEL RIO
14/04/2017,Viernes Santo,MATEHUALA
14/04/2017,Viernes Santo,MINAS
14/04/2017,Viernes Santo,AGUASCALIENTES
14/04/2017,Viernes Santo,COLIMA 
14/04/2017,Viernes Santo,QUERETARO
14/04/2017,Viernes Santo,SAN LUIS POTOSI
14/04/2017,Viernes Santo,ZACATECAS
01/05/2017,Dia Del Trabajo,FRESNILLO
01/05/2017,Dia Del Trabajo,MANZANILLO
01/05/2017,Dia Del Trabajo,CELAYA
01/05/2017,Dia Del Trabajo,IRAPUATO
01/05/2017,Dia Del Trabajo,LEON
01/05/2017,Dia Del Trabajo,SALVATIERRA
01/05/2017,Dia Del Trabajo,IXIMIQUILPAN
01/05/2017,Dia Del Trabajo,CIENEGA
01/05/2017,Dia Del Trabajo,GUADALAJARA
01/05/2017,Dia Del Trabajo,JIQUILPAN
01/05/2017,Dia Del Trabajo,LOS ALTOS 
01/05/2017,Dia Del Trabajo,ZAPOTLAN
